	Tneg1	T45	T60	T90	T180	T300	Galactose.minusLys	Galactose.plusLys
YER146W		-1.1740101302722252	-1.219983335851		-1.6395143392227849	-1.74409825072114		
YER147C-A	-1.155936124957735	-1.1554768202683952		-1.1415404899623849	-1.341679219335745			
YER150W	-2.067608968629295					-1.623934429598525		
YER156C	-1.4508957153163					1.289098051051625		
YER175C						-3.56297088700272		
YER176W	1.264998842750345				1.0638890092997948			
YER184C		1.248714224917375	1.089381510499095		1.23819167684051			
YER185W			1.152901632931605		1.55067434666995			
YFL001W								1.4007927997017902
YFL003C					1.10263382072579			
YFL007W							-1.4301841010036551	-1.8618656061151202
YFL010W-A						-1.14026207263521	1.15428234608502	
YFL017C		-1.1522184730595			-1.0822092145834499			
YFL017W-A					-1.037585120159475			
YFL022C							1.026840264280605	
YFL028C						-1.4883958992162547		
YFL030W						-1.207134361438255		
YFL031W							1.125634572628035	1.1959572473728701
YFL033C								-1.076408413207425
YFL034C-A							1.5858550549016601	
YFL041W						-1.4888032064623147		
YFL054C							1.099306028892105	
YFR011C		-1.0843533486701151	-1.16871814425516		-1.1562707746338898			
YFR014C								-1.2787325444630602
YFR016C					1.1588767021097			
YFR022W								1.5861549067667648
YFR024C-A						-1.072366451603955		
YFR026C						2.5806571155302		
YFR032C-A		-1.15857392873758	-1.12782320511828		-1.444328826897445	-1.047612184825795	1.3781822719678951	
YFR034C						-1.100663626413605		
YFR053C	-1.581897195978595		-1.10390901603564					
YGL001C							1.06177992780561	1.66100645845378
YGL006W		1.1013166052496						
YGL008C							2.580689292241065	2.62114715638761
YGL009C		1.1639400176925399					1.5910688516958449	
YGL010W								-1.0139120774462351
YGL012W							1.0601836407722	1.4272429758090897
YGL028C						-1.59748971776561	1.291930512250595	1.2716419964423848
YGL029W							1.06831271054594	
YGL030W							1.35781313100949	
YGL032C	-1.47279568895636	-1.23157989227984	-1.1174405392258402	-1.54358174863858				-1.138872467003265
YGL035C	-1.1009383932715449						1.5578789121675198	
YGL036W					1.07041726445273			
YGL037C	-1.516730778886535		-1.1127689960838851	-1.0584653843208551	-1.2294191578707898			
YGL038C							-1.761936204922065	-1.060911479137995
YGL039W	1.1970436226867651			1.15237934715669				1.5352274923598
YGL041W-A		-1.11088231889313	-1.07644672373138		-1.132783122572045			
YGL047W							-1.1745668538970702	
YGL058W							1.092828827635235	
YGL059W						-2.30666551826981	-1.518276480525135	-1.23481439305798
YGL064C								1.273518170782445
YGL068W					-1.3975902504445599			
YGL070C								1.05779303386293
YGL076C							1.1641613291394899	
YGL078C							1.0261900437813751	
YGL088W					-1.1727077016222949			
YGL096W					1.25335475280215			
YGL101W								1.07169626142176
YGL103W						-1.4718750746534899	1.616438290737335	
YGL117W						-2.648483981660725		
YGL120C							1.20338963624646	
YGL154C						-1.183949338793565		
YGL156W							-1.73716314373213	-1.992912313468125
YGL162W							1.10794842875015	1.792797045920955
YGL166W	-1.4561167941295752		-1.24275373529378		-1.32988254059315			
YGL170C							1.4661350857815698	1.3245693344083103
YGL178W	1.311652388014185		1.2559423835605399		1.54069236716451			
YGL179C							1.5940354693621348	2.00145047239914
YGL180W		1.489310984375725	1.379344220462885		2.151417770250425			-1.1199182402520051
YGL184C		1.2345331447058148						
YGL186C						-1.535525427593965		
YGL187C		-1.220479573467875	-1.30536278507771	-1.152264357779445	-1.112463747759075			
YGL189C							1.3808822186356	
YGL190C							-1.0618280083148801	-1.120073487385205
YGL191W		-1.0454922054891	-1.074288324813525	-1.128161712073445	-1.3208250082361999			
YGL197W					1.07316062744585			-1.1126878871464951
YGL198W			-1.1093146861059					
YGL215W	1.23093541947306		1.080831415495545		1.294933626043455			
YGL225W							1.189084191784475	
YGL226W					-1.21578801666766			
YGL246C								1.13609686693969
YGL251C					1.206041878013635			
YGL253W							3.3511901557945	1.9640141605474901
YGL255W	2.599107569698015	1.5991789570415151					1.028362009932455	
YGL256W					1.31251393969204	2.241159600385745		
YGR008C	-1.6050176855390248		-1.340133797002015		-1.37009116221153		-1.02253056748948	
YGR026W						1.076494476847075		-1.40013173833909
YGR030C								1.1028918144980802
YGR032W		1.334934789465315	1.48599173982503	1.3373324287053499	1.32437751397479			
YGR034W							1.508049602854915	
YGR040W						1.4611843571688		
YGR043C	-1.752719061290655					-1.35865515458037	-2.038788019989725	-1.6142226484643047
YGR044C							-1.510394447323295	-1.22092651721713
YGR046W							-1.1520495564073698	-1.118906069549135
YGR052W							-2.052019521172495	-2.4659781253290554
YGR054W							1.12282474793146	
YGR055W								1.14055510410773
YGR065C						-1.497809445036295		
YGR066C						-1.26838645396339	-1.455765891062005	
YGR068C								1.02651538535029
