	Tneg1	T45	T60	T90	T180	T300
YOR192C	1.179985111898905				1.1012233019061302	
YOR208W					1.2429470755496	1.06076986863771
YOR210W					-1.15283109290199	
YOR226C					-1.2555580188581699	
YOR227W					1.315488360512525	
YOR242C					1.109611068236535	
YOR247W				1.21795327993962	1.14844322440086	
YOR257W					-1.0664397072506748	
YOR276W	-1.240107371252995				-1.3633358670235598	
YOR294W					-1.249335926778595	
YOR298W	1.3083368272528302				1.3058602838123798	1.270578489515085
YOR303W	1.178080995691525					
YOR304C-A	-1.2283951408024851					
YOR309C					1.085929965528405	
YOR337W	1.2157781294158148					
YOR374W	1.584412000614435					
YPL016W					1.355027328325945	
YPL036W	1.2286216462303					
YPL058C					1.296350702762495	
YPL092W	1.341209257747155					
YPL095C						-1.6557847788365452
YPL111W	-1.187504245163055				-1.06004796832495	
YPL137C	1.25601109841371				1.34614973738858	
YPL142C	1.60628879664347	1.826691441856245	2.16379224209171	1.9274990327734098	2.0095422403028653	1.66700529574692
YPL197C			-1.2313492470322052		-1.1891297642280751	
YPL205C	-1.5755130809968851		-1.1536764782503899			
YPL240C					1.609227242607965	
YPL250C	1.9197203509390248					
YPL271W	-1.19502225290719					
YPR001W	1.6738843579102651					
YPR017C					-1.1053143508367849	
YPR026W					1.061053209479165	
YPR030W					1.08824885025484	1.43660044833043
YPR037C					-1.057387917524855	
YPR062W						-1.069015930857405
YPR113W	-1.146406496525025					
YPR124W						-1.195514191675155
YPR133W-A	-1.471217732542235					
YPR184W					1.3472248877149349	
