	galpluslys	galminuslys	highgluc	lowgluc
YHR044C	1.3874875656491001	1.24361929183614		
YHR046C	2.9081076068709506	2.92976826972499		
YHR049W	1.2396395407778502	1.7384547897276301		
YHR051W			-1.0448154841337651	
YHR052W	1.00274242583014	1.42700604886384		
YHR063C	1.18319451061537	1.0559108062742801		
YHR065C	1.04941072843014			
YHR068W	1.7130082955603	1.32057949050469		
YHR071W			1.244135249134485	1.18058505847696
YHR072W-A			-1.3065136769141898	
YHR080C	-1.1646947450823202			
YHR082C			1.271530621692265	
YHR085W	1.4135549263695701	1.4124361442689801		
YHR092C	3.0402877946697098	2.9347053603735698	-1.739195184870535	
YHR096C	-1.31823528940045	-1.7964846555749898	-2.16957253824167	
YHR097C			1.090585570517	-1.0374518222125
YHR106W	-1.21902366219793	-1.33936044500597		
YHR116W		1.05076033785444		
YHR123W			1.00445853216739	
YHR128W	1.25457818722448			
YHR138C	-1.5302979164006103	-1.0145891698017		
YHR141C	1.24972410033915			
YHR143W	1.22533517403349			
YHR147C			-1.02826693496667	
YHR148W	1.20342718454308			
YHR155W			1.26503051404281	
YHR162W	1.03535967901042	1.04968648551962		
YHR163W		1.0937855088033699	-1.1282795665366998	
YHR174W		-1.52994260788483	1.19510174329409	
YHR175W-A				1.28452055200727
YHR179W	2.34277544565586	1.6464771561398799		
YHR183W	1.9045328726898403	1.0535755655388102		
YHR194W	-1.00646462604572	-1.54329021380842		
YHR196W	1.3311640683727801			
YHR197W		1.3718965167455501		
YHR199C			-1.13470746369698	
YHR203C	1.3328657922416298			
YHR208W	1.6843943181977001			
YHR209W			1.1044540642181768	
YHR210C	1.4798202428905			
YHR211W			1.18835780927975	
YIL002W-A			-1.06100285623268	
YIL009W		-1.6305050147021698		
YIL013C		-1.33438955971206		
YIL017C	-1.3725047245713702	-1.6399356772298301		
YIL018W	1.5278835676001001			
YIL020C		1.5024698339586002		
YIL031W			1.2112615936063902	
YIL042C			-1.1941554808789399	
YIL045W	-1.4455017253734699	-1.4000878459596597		
YIL050W			-1.5456781672161002	
YIL051C			-1.23069633561343	
YIL053W	2.35273703391757			-1.48112859666722
YIL055C		-1.4131942710092602		
YIL056W	1.4745825016309602			
YIL059C			-3.09495275908939	
YIL067C	1.33201489013894	1.2277807332013		
YIL069C	1.1686433955675701			
YIL071C	-1.12122022609383	-1.0069650855900698		
YIL073C			-1.11107672744336	-1.30495652928474
YIL074C	1.13115617835254			
YIL087C			-1.33618896528713	
YIL091C	1.48852706502359			
YIL097W	-1.03382568420708			
YIL110W	1.2338763029295399	1.7045621572178302		
YIL117C			1.47797545732359	
YIL118W	1.27763746771542	1.25165056117142		
YIL121W	1.3291665969339999	1.3128558888108601	-2.9156568595507997	
YIL123W		-1.3242735373773797		
YIL124W	-1.1727884269998898	-1.72276467725844	-1.2031607553054349	-1.46380331642246
YIL130W	1.22327740693755			
YIL133C	1.7184351063664298			
YIL134W		1.5599106608098399		
YIL136W	-1.4819988481481299	-1.21806203964707		
YIL140W			1.12451508995743	
YIL148W	1.18951312383789			
YIL149C		-1.0232432097755502	1.0471490505296	
YIL155C		-1.19057120326333		
YIL156W-B			-1.246551247495755	
YIL159W			1.16824267064664	
YIL162W	3.10302464796503	2.7624917347975		
YIL164C			-2.1114257003303045	
YIL165C			-3.41144110353091	
YIR005W			-1.86865859649504	
YIR012W	1.89394952496807	1.38279199111608		
YIR015W	-1.5673166484414398	-2.0609638873521		
YIR016W		-1.1438552780267		-2.22967606524355
YIR018W			-1.8724963236589198	
YIR026C	1.70177722293494	1.60277898403482		
YIR029W			-1.3464312396117801	
YIR032C		1.30898139130174	-1.472847552375565	
YIR033W			1.02618015627024	1.12862637175617
YIR035C			-1.2001352175833402	
YIR036C	-1.1308172214635501		-1.2929440421454832	
YIR037W	-1.24235997805517	-1.18766423236604	-1.03956581761428	
YIR038C	-1.93781370870293	-2.4232453604954998	-1.2123955284465102	
YJL010C	1.05112574263754			
YJL011C	1.22865312786694	1.4961116308425502		
YJL012C			1.1896062642972118	1.02682835238764
YJL016W		-1.1067478199996001		
YJL026W		-1.7642165329935802	1.27145545644291	
YJL031C			1.02377611865464	
YJL034W	1.0765387561286999	1.11986369706674		
YJL035C		1.4446045893003499	-1.1769244494179598	
YJL048C				-1.23441488078133
YJL050W	1.00112470023985			
YJL052W				-2.70973639732346
YJL056C			1.13830845539748	
YJL058C		1.0845235490857699		
YJL063C			-1.00541387947502	
YJL066C		-1.03214512686696		
YJL068C			-1.12803972396893	
YJL069C	1.70635635134837			
YJL070C		-1.04828757061207		
YJL072C			-1.96205304554647	
YJL073W			1.7170099916228998	
